Input,Expected Bot Response,Actual Bot Response
¿Cómo hago el anticipo?,o tambien pueden venir a dejarlo al salon,Con gusto te explico. Puedes realizar tu anticipo vía transferencia o depósito bancario. Te enviaré los datos por mensaje privado para que puedas asegurarte tu lugar. 💖
Uñas por la tarde,Para que dia te gustaria?,Solo necesito fecha para agendar tu cita 💅
¿Tienen espacio mañana en la tarde?,Para que servicio te gustaria?,"Solo necesito servicio, hora para agendar tu cita 💅"
Me gustaría ir el viernes,Para que servicio te gustaria?,"Solo necesito servicio, hora para agendar tu cita 💅"
¿Podría ir a las 5pm?,Para que servicio te gustaria?,"Solo necesito servicio, fecha para agendar tu cita 💅"
Estoy libre esta semana,Para que servicio te gustaria?,"Solo necesito servicio, hora para agendar tu cita 💅"
Quiero agendar pero no sé la hora,Para que servicio te gustaria?,"Solo necesito servicio, fecha, hora para agendar tu cita 💅"
¿Tienen cita mañana?,Para que servicio te gustaria?,"Solo necesito servicio, hora para agendar tu cita 💅"
¿Hay lugar el lunes en la noche?,Para que servicio te gustaria?,Solo necesito servicio para agendar tu cita 💅
Tengo chance mañana,Para que servicio te gustaria?,"Solo necesito servicio, hora para agendar tu cita 💅"
¿Usan acrílico o polygel?,Por el momento utilizamos acrilico ,El precio de *uñas acrílicas* es de Desde $250 MXN 💵
¿Puedo llevar a mi bebé?,Preferentes a partir de los 6 años donde ya puedan estar tranquilos y ser mas pacientes aunque lo ideal es que vengas a concentirte y desconectarte de tus obligaciones y tengas unos minutos de relajacion total,"Con gusto, en Beauty Blossoms Studio nos encanta recibir a familias. Sin embargo, para garantizar la seguridad y comodidad de tu bebé y de nuestros clientes, te sugerimos considerar opciones de cuidado infantil durante tu cita, ya que algunos servicios pueden requerir el uso de productos o herramientas que no son adecuados para niños pequeños. ¡Gracias por tu comprensión!"
¿Puedo llevar a mis hijos?,Preferentes a partir de los 6 años donde ya puedan estar tranquilos y ser mas pacientes aunque lo ideal es que vengas a concentirte y desconectarte de tus obligaciones y tengas unos minutos de relajacion total,"Con gusto, en Beauty Blossoms Studio nos enfocamos en brindarte un ambiente relajado para tu experiencia. Si bien puedes traer a tus pequeños, te recomendamos considerar que algunos servicios requieren de tiempo y quietud. ¡Nos encantará atenderte!"
¿Está permitido llevar niños?,Preferentes a partir de los 6 años donde ya puedan estar tranquilos y ser mas pacientes aunque lo ideal es que vengas a concentirte y desconectarte de tus obligaciones y tengas unos minutos de relajacion total,"Con gusto le atenderemos, sin embargo, por seguridad de los pequeños y para asegurar la tranquilidad durante los servicios, preferimos que no asistan niños al salón. ¡Gracias por su comprensión!"
¿Cuánto tiempo toma hacer acrílicas?,Puede variar por el diseño de 1 hora 30min a 3 horas ,El precio de *uñas acrílicas* es de Desde $250 MXN 💵
¿Dónde puedo estacionarme?,Puedes estacionarte justo frente al parque ,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Cuántas veces se puede hacer retoque antes de cambio completo?,Se realiza de 2 a 3 retoques para el cambio,Con gusto te puedo ayudar con esa información. Te recomiendo contactarnos directamente por llamada para que una de nuestras expertas pueda explicarte a detalle. ¡Espero tu llamada!
¿Rellenan uñas si no son de aquí?,Se realiza retiro y aplicacion nueva para poder dar una mejor calidad y garantia,El precio de *uñas acrílicas* es de Desde $250 MXN 💵
¿Hay descuento si llevo a una amiga?,Se te regala el 10% por referidos,"Hola, qué gusto saludarte. Para conocer nuestras promociones para amigas, te invito a que nos contactes directamente por llamada o mensaje al número de teléfono del salón. ¡Será un placer atenderte!"
¿Tienen letrero afuera?,Si,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Puedo ir solo a quitarme el gelish?,Si ,"Solo necesito fecha, hora para agendar tu cita 💅"
¿Tienen estacionamiento?,Si contamos con estacionamiento,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Hay descuento si llevo a una amiga?,Si el 10% de descuento por referido,"Hola, qué gusto saludarte. Para conocer nuestras promociones para amigas, te invito a que nos contactes directamente por llamada o mensaje al número de teléfono del salón. ¡Será un placer atenderte!"
¿Hay descuentos por cumpleaños?,Si tenemos 3X2 en cumpleañeras llevate 2 servicios y te regalamos 1 ,"¡Hola! Qué buena pregunta. Para conocer nuestras promociones de cumpleaños, te invito a que nos contactes por mensaje directo para darte información detallada. ¡Será un placer atenderte!"
¿Tienen servicio de retiro de pestañas?,"Si, tiene un costo de $100","Con gusto te informo sobre el precio del retiro de pestañas. Te recomiendo agendar una cita de valoración para determinar el mejor método y precio, ya que depende del tipo de pestañas que tengas actualmente. ¿Te gustaría agendar una?"
¿Tienen sucursales o solo esa?,"Solo contamos con 1 salon, No contamos con mas sucursales por el momento",📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Cuánto está el diseño de cejas?,Solo el diseño $180,El precio de *diseño de cejas hd* es de $350 MXN 💵
¿Qué tan natural se ven las pestañas clásicas?,Son las mas naturales de todas ,El precio de *pestañas clásicas* es de $400 MXN 💵
¿Puedo ver resultados del BBLips?,Te comparto los beneficios y el resultado,El precio de *bblips* es de $500 MXN 💵
¿Dónde puedo preguntar?,Te gustaria hablar con nuestra tecnica especialista?,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Qué me recomiendas si quiero uñas naturales y cuánto cuesta y qué días tienes?,Te recomiendamos el rubber,El precio de *uñas soft gel* es de $350 MXN 💵
¿El retoque está incluido o es aparte?,"Tiene costo aparte, de que servicio seria","Con gusto te puedo dar información sobre precios, pero necesito saber a qué servicio te refieres. ¿Podrías especificarme por favor?"
¿Qué duración tiene el diseño de cejas?,Tiene una durarion de 1 hora 20min,El precio de *diseño de cejas hd* es de $350 MXN 💵
¿Con quién recomiendan hacerme acrílicas?,Todas nuestras tecnicas estan capacitadas para realizar el mejor trabajo,El precio de *uñas acrílicas* es de Desde $250 MXN 💵
¿Puedo ir ya?,Todo de hoy se va directo con recepcion,"Solo necesito servicio, hora para agendar tu cita 💅"
¿Qué marca de gelish usan?,Utilizamos distintas marcas pero todas garantizan la durabilidad de tu servicio,"En Beauty Blossoms Studio utilizamos marcas de gelish de alta calidad como Organic Nails, Cuccio y OPI, para asegurar la durabilidad y belleza de tus uñas. Con gusto te podemos dar más detalles sobre cada una cuando vengas a tu cita."
¿Cuánto vale el acripie?,y los viernes por promo en $200,El precio de *acripie* es de $300 MXN 💵
¿Cuánto cuestan las uñas acrílicas?,ya tienes algun diseño en mente ? mandalo para mejor cotizacion,El precio de *uñas acrílicas* es de Desde $250 MXN 💵 
